X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.650,6.945931,0.000066
0.652,7.045158,0.000050
0.654,7.145655,0.000050
0.656,7.247326,0.000051
0.658,7.350149,0.000072
0.660,7.454226,0.000069
0.662,7.559278,0.000091
0.664,7.664998,0.000064
0.666,7.77153,0.00010
0.668,7.878610,0.000081
0.670,7.98553,0.00013
0.672,8.09301,0.00015
0.674,8.19990,0.00011
0.676,8.30646,0.00011
0.678,8.41170,0.00010
0.680,8.51637,0.00016
0.682,8.61929,0.00016
0.684,8.72070,0.00021
0.686,8.82057,0.00014
0.688,8.91753,0.00020
0.690,9.01370,0.00022
0.692,9.10789,0.00032
0.694,9.20089,0.00018
0.696,9.29401,0.00022
0.698,9.38630,0.00024
0.700,9.48035,0.00018
0.702,9.57615,0.00033
0.704,9.67347,0.00024
0.706,9.77575,0.00028
0.708,9.88081,0.00013
0.710,9.99038,0.00020
0.712,10.10584,0.00024
0.714,10.22592,0.00015
0.716,10.35295,0.00033
0.718,10.48477,0.00036
0.720,10.62330,0.00028
0.722,10.76792,0.00035
0.724,10.91877,0.00040
0.726,11.07543,0.00041
0.728,11.23908,0.00055
0.730,11.40956,0.00057
0.732,11.58833,0.00042
0.734,11.77227,0.00054
0.736,11.96690,0.00083
,,
Sampling method = ECMC,Pressure calculation method = rift formula,
N = 72,Aspect ratio = (1 : 1),Boundary condition = periodic
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.650,6.901074,0.000071
0.652,6.996291,0.000089
0.654,7.092198,0.000070
0.656,7.189031,0.000060
0.658,7.28628,0.00011
0.660,7.383221,0.000087
0.662,7.48034,0.00011
0.664,7.57651,0.00011
0.666,7.67201,0.00016
0.668,7.76553,0.00010
0.670,7.85637,0.00011
0.672,7.94389,0.00019
0.674,8.02684,0.00025
0.676,8.10361,0.00017
0.678,8.17390,0.00012
0.680,8.23631,0.00034
0.682,8.28958,0.00020
0.684,8.33421,0.00043
0.686,8.36849,0.00039
0.688,8.39654,0.00040
0.690,8.41814,0.00038
0.692,8.43819,0.00041
0.694,8.45702,0.00051
0.696,8.48214,0.00059
0.698,8.5118,0.0010
0.700,8.55170,0.00059
0.702,8.60151,0.00054
0.704,8.65810,0.00058
0.706,8.72828,0.00033
0.708,8.80381,0.00045
0.710,8.88876,0.00051
0.712,8.98256,0.00053
0.714,9.08188,0.00044
0.716,9.18825,0.00083
0.718,9.30209,0.00022
0.720,9.41867,0.00050
0.722,9.54063,0.00069
0.724,9.66930,0.00057
0.726,9.80173,0.00080
0.728,9.93813,0.00043
0.730,10.08124,0.00093
0.732,10.22736,0.00047
0.734,10.37974,0.00073
0.736,10.5371,0.0015
,,
Sampling method = ECMC,Pressure calculation method = rift formula,
N = 224,Aspect ratio = (1 : 1),Boundary condition = periodic
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.670,7.979479,0.000058
0.672,8.08531,0.00011
0.674,8.18999,0.00013
0.676,8.29315,0.00016
0.678,8.39390,0.00021
0.680,8.49105,0.00019
0.682,8.58244,0.00015
0.684,8.66582,0.00024
0.686,8.73803,0.00044
0.688,8.79579,0.00026
0.690,8.83348,0.00046
0.692,8.84651,0.00055
0.694,8.83344,0.00079
0.696,8.7966,0.0011
0.698,8.74504,0.00097
0.700,8.6876,0.0012
0.702,8.6436,0.0020
0.704,8.6262,0.0021
0.706,8.6175,0.0029
0.708,8.6305,0.0044
0.710,8.6721,0.0043
0.712,8.7378,0.0053
0.714,8.7984,0.0045
0.716,8.8869,0.0073
0.718,8.9570,0.0046
0.720,9.0844,0.0099
0.722,9.1798,0.0065
,,
Sampling method = MPMC,Pressure calculation method = rift formula,
N = 128^2,Aspect ratio = (1 : 1),
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.698,9.17405,0.00049
0.704,9.18558,0.00080
0.708,9.17630,0.00074
0.712,9.16554,0.00090
0.716,9.1587,0.0010
,,
Sampling method = MPMC,Pressure calculation method = rift formula,
N = 128^2,Aspect ratio = (1 : \sqrt{3} / 2),
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.698,9.17441,0.00057
0.704,9.18700,0.00091
0.708,9.17512,0.00088
0.712,9.16590,0.00094
0.716,9.1560,0.0018
,,
Sampling method = MPMC,Pressure calculation method = rift formula,
N = 512^2,Aspect ratio = (1 : 1),
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.698,9.16964,0.00012
0.704,9.18847,0.00023
0.708,9.18462,0.00022
0.712,9.18111,0.00018
0.718,9.19352,0.00052
,,
Sampling method = MPMC,Pressure calculation method = rift formula,
N = 512^2,Aspect ratio = (1 : \sqrt{3} / 2),
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.698,9.16960,0.00016
0.704,9.18825,0.00039
0.708,9.18488,0.00044
0.712,9.18056,0.00036
0.718,9.1938,0.0011
,,
Sampling method = MPMC,Pressure calculation method = rift formula, 
N = 1024^2,Aspect ratio = (1 : 1),
X unit = packing fraction,Y unit = beta P (2 sigma)^2,type = error bar
0.698,9.16938,0.00011
0.704,9.18639,0.00020
0.708,9.18551,0.00017
0.712,9.18310,0.00017
0.718,9.19390,0.00043
